year,match_id,match_name,stage_name,group_name,match_date,match_time,stadium_name,city_name,country_name,home_team_name,away_team_name,score,home_team_score,away_team_score,extra_time,penalty_shootout,score_penalties,result
2010,M-2010-41,Paraguay vs New Zealand,group stage,Group F,2010-06-24,16:00,Peter Mokaba Stadium,Polokwane,South Africa,Paraguay,New Zealand,0–0,0,0,0,0,0-0,draw
2010,M-2010-42,Slovakia vs Italy,group stage,Group F,2010-06-24,16:00,Ellis Park Stadium,Johannesburg,South Africa,Slovakia,Italy,3–2,3,2,0,0,0-0,home team win
2010,M-2010-43,Cameroon vs Netherlands,group stage,Group E,2010-06-24,20:30,Cape Town Stadium,Cape Town,South Africa,Cameroon,Netherlands,1–2,1,2,0,0,0-0,away team win
2010,M-2010-44,Denmark vs Japan,group stage,Group E,2010-06-24,20:30,Royal Bafokeng Stadium,Rustenburg,South Africa,Denmark,Japan,1–3,1,3,0,0,0-0,away team win
2010,M-2010-45,North Korea vs Ivory Coast,group stage,Group G,2010-06-25,16:00,Mbombela Stadium,Nelspruit,South Africa,North Korea,Ivory Coast,0–3,0,3,0,0,0-0,away team win
2010,M-2010-46,Portugal vs Brazil,group stage,Group G,2010-06-25,16:00,Moses Mabhida Stadium,Durban,South Africa,Portugal,Brazil,0–0,0,0,0,0,0-0,draw
2010,M-2010-47,Chile vs Spain,group stage,Group H,2010-06-25,20:30,Loftus Versfeld Stadium,Pretoria,South Africa,Chile,Spain,1–2,1,2,0,0,0-0,away team win
2010,M-2010-48,Switzerland vs Honduras,group stage,Group H,2010-06-25,20:30,Free State Stadium,Bloemfontein,South Africa,Switzerland,Honduras,0–0,0,0,0,0,0-0,draw
2010,M-2010-49,Uruguay vs South Korea,round of 16,not applicable,2010-06-26,16:00,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,Uruguay,South Korea,2–1,2,1,0,0,0-0,home team win
2010,M-2010-50,United States vs Ghana,round of 16,not applicable,2010-06-26,20:30,Royal Bafokeng Stadium,Rustenburg,South Africa,United States,Ghana,1–2,1,2,1,0,0-0,away team win
2010,M-2010-51,Germany vs England,round of 16,not applicable,2010-06-27,16:00,Free State Stadium,Bloemfontein,South Africa,Germany,England,4–1,4,1,0,0,0-0,home team win
2010,M-2010-52,Argentina vs Mexico,round of 16,not applicable,2010-06-27,20:30,Soccer City,Johannesburg,South Africa,Argentina,Mexico,3–1,3,1,0,0,0-0,home team win
2010,M-2010-53,Netherlands vs Slovakia,round of 16,not applicable,2010-06-28,16:00,Moses Mabhida Stadium,Durban,South Africa,Netherlands,Slovakia,2–1,2,1,0,0,0-0,home team win
2010,M-2010-54,Brazil vs Chile,round of 16,not applicable,2010-06-28,20:30,Ellis Park Stadium,Johannesburg,South Africa,Brazil,Chile,3–0,3,0,0,0,0-0,home team win
2010,M-2010-55,Paraguay vs Japan,round of 16,not applicable,2010-06-29,16:00,Loftus Versfeld Stadium,Pretoria,South Africa,Paraguay,Japan,0–0,0,0,1,1,5–3,home team win
2010,M-2010-56,Spain vs Portugal,round of 16,not applicable,2010-06-29,20:30,Cape Town Stadium,Cape Town,South Africa,Spain,Portugal,1–0,1,0,0,0,0-0,home team win
2010,M-2010-57,Netherlands vs Brazil,quarter-finals,not applicable,2010-07-02,16:00,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,Netherlands,Brazil,2–1,2,1,0,0,0-0,home team win
2010,M-2010-58,Uruguay vs Ghana,quarter-finals,not applicable,2010-07-02,20:30,Soccer City,Johannesburg,South Africa,Uruguay,Ghana,1–1,1,1,1,1,4–2,home team win
2010,M-2010-59,Argentina vs Germany,quarter-finals,not applicable,2010-07-03,16:00,Cape Town Stadium,Cape Town,South Africa,Argentina,Germany,0–4,0,4,0,0,0-0,away team win
2010,M-2010-60,Paraguay vs Spain,quarter-finals,not applicable,2010-07-03,20:30,Ellis Park Stadium,Johannesburg,South Africa,Paraguay,Spain,0–1,0,1,0,0,0-0,away team win
2010,M-2010-61,Uruguay vs Netherlands,semi-finals,not applicable,2010-07-06,20:30,Cape Town Stadium,Cape Town,South Africa,Uruguay,Netherlands,2–3,2,3,0,0,0-0,away team win
2010,M-2010-62,Germany vs Spain,semi-finals,not applicable,2010-07-07,20:30,Moses Mabhida Stadium,Durban,South Africa,Germany,Spain,0–1,0,1,0,0,0-0,away team win
2010,M-2010-63,Uruguay vs Germany,third-place match,not applicable,2010-07-10,20:30,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,Uruguay,Germany,2–3,2,3,0,0,0-0,away team win
2010,M-2010-64,Netherlands vs Spain,final,not applicable,2010-07-11,20:30,Soccer City,Johannesburg,South Africa,Netherlands,Spain,0–1,0,1,1,0,0-0,away team win
2014,M-2014-01,Brazil vs Croatia,group stage,Group A,2014-06-12,17:00,Arena Corinthians,São Paulo,Brazil,Brazil,Croatia,3–1,3,1,0,0,0-0,home team win
2014,M-2014-02,Mexico vs Cameroon,group stage,Group A,2014-06-13,13:00,Arena das Dunas,Natal,Brazil,Mexico,Cameroon,1–0,1,0,0,0,0-0,home team win
2014,M-2014-03,Spain vs Netherlands,group stage,Group B,2014-06-13,16:00,Arena Fonte Nova,Salvador,Brazil,Spain,Netherlands,1–5,1,5,0,0,0-0,away team win
2014,M-2014-04,Chile vs Australia,group stage,Group B,2014-06-13,18:00,Arena Pantanal,Cuiabá,Brazil,Chile,Australia,3–1,3,1,0,0,0-0,home team win
2014,M-2014-05,Colombia vs Greece,group stage,Group C,2014-06-14,13:00,Estádio Mineirão,Belo Horizonte,Brazil,Colombia,Greece,3–0,3,0,0,0,0-0,home team win
2014,M-2014-06,Uruguay vs Costa Rica,group stage,Group D,2014-06-14,16:00,Estádio Castelão,Fortaleza,Brazil,Uruguay,Costa Rica,1–3,1,3,0,0,0-0,away team win
2014,M-2014-07,England vs Italy,group stage,Group D,2014-06-14,18:00,Arena da Amazônia,Manaus,Brazil,England,Italy,1–2,1,2,0,0,0-0,away team win
